schedule_id,publish_date,publish_at,production_not_before,review_by,status,priority,format,type,template,hero,cast_id,working_title,topic,search_query,minutes,seed,event,expires_at,source_ids,evidence,readiness,llm_calls_max,existing_queue_id,existing_slug,source_schedule_ids,fallback,notes,publication_status,uploaded_at,release_url
dd-2026-09-23,2026-09-23,2026-09-23T18:00:00+05:30,2026-09-22T03:30:00Z,2026-09-19,planned,50,template,rhyme,body-parts,owl,ozzy,Body Parts With Professor Ozzy!,,body parts song for kids,5.5,20260923,,,"[""learning"",""catalog""]",established_format,editorial_review,0,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,Use the existing template without seasonal claims. Validate learning examples and review actual audio/runtime. First scheduled baseline for this template. Check plural grammar and anatomy against the selected animal.,planned,,
dd-2026-09-24,2026-09-24,2026-09-24T18:00:00+05:30,2026-09-23T03:30:00Z,2026-09-20,planned,50,template,rhyme,animal-sounds,bunny,taffy,Animal Sounds With Taffy!,,animal sounds for toddlers,5.5,20260924,,,"[""learning"",""catalog""]",established_format,editorial_review,0,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,Use the existing template without seasonal claims. Validate learning examples and review actual audio/runtime. First scheduled baseline for this template. Check chorus sound labels against the six-cast lesson; do not imply every named sound has an on-screen animal.,planned,,
dd-2026-09-25,2026-09-25,2026-09-25T18:00:00+05:30,2026-09-24T03:30:00Z,2026-09-21,planned,60,story,story,,duck,daisy,Daisy Says Goodnight,"Daisy wants one more game. Grandpa Tilly helps her follow three calm bedtime steps and notice how her body feels. Use only Taffy, Ben, Daisy, Fiona, Grandpa Tilly and Professor Ozzy. Use existing backgrounds where suitable; run Director after generation. Target 5–6 minutes.",bedtime story for preschool,5.5,20260925,,,"[""routines""]",established_need,free_llm_required,1,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,One publishing slot per day; human reviews and uploads.,planned,,
dd-2026-09-26,2026-09-26,2026-09-26T18:00:00+05:30,2026-09-25T03:30:00Z,2026-09-22,planned,40,flex,,,bear,ben,Ben's One-Toy-at-a-Time Cleanup — trend-review candidate,,cleanup song for toddlers,5.5,20260926,,,"[""cleanup"",""live_trends""]",unconfirmed_candidate,evidence_and_implementation_required,1,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,"New routine template; visual steps must match the words. Recheck search evidence 72 hours before production. This is a reserved slot, not an executable queue row. At most one script call if resolved to a story; zero for a deterministic template.",planned,,
dd-2026-09-27,2026-09-27,2026-09-27T18:00:00+05:30,2026-09-26T03:30:00Z,2026-09-23,planned,50,compilation,,,,,Sunny Meadow: Kindness and Learning — 2026-09-27,,,17,20260927,,,"[""learning""]",editorial_hypothesis,released_sources_required,0,,,"[""dd-2026-09-23"",""dd-2026-09-24"",""dd-2026-09-25""]",Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,"Use three actually finished and reviewed source episodes; do not regenerate them. Confirm topic coherence and replace the working title with an accurate contents title. Route to compile.yml, not make-video.yml. Hold if sources are missing or the combination duplicates a prior compilation.",planned,,
dd-2026-09-28,2026-09-28,2026-09-28T18:00:00+05:30,2026-09-27T03:30:00Z,2026-09-24,planned,50,template,rhyme,counting,bear,ben,Count With Ben!,,counting 1 to 10 song for toddlers,5.5,20260928,,,"[""learning"",""catalog""]",established_format,existing_template,0,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,Use the existing template without seasonal claims. Validate learning examples and review actual audio/runtime. First scheduled baseline for this template.,planned,,
dd-2026-09-29,2026-09-29,2026-09-29T18:00:00+05:30,2026-09-28T03:30:00Z,2026-09-25,planned,60,story,story,,fox,fiona,Fiona Waits for Her Turn,"At a playground game Fiona rushes ahead. Ben helps her name the feeling, wait for a clear turn, and enjoy playing together. Use only Taffy, Ben, Daisy, Fiona, Grandpa Tilly and Professor Ozzy. Use existing backgrounds where suitable; run Director after generation. Target 5–6 minutes.",feelings story for preschool,5.5,20260929,,,"[""feelings""]",established_need,free_llm_required,1,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,One publishing slot per day; human reviews and uploads.,planned,,
dd-2026-09-30,2026-09-30,2026-09-30T18:00:00+05:30,2026-09-29T03:30:00Z,2026-09-26,planned,50,template,rhyme,counting,duck,daisy,Count With Daisy!,,counting 1 to 10 song for toddlers,5.5,20260930,,,"[""learning"",""catalog""]",established_format,novelty_review,0,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,Use the existing template without seasonal claims. Validate learning examples and review actual audio/runtime. A different hero or shuffle alone is not sufficient novelty: approve a meaningful teaching variation or replace with an unpublished approved episode; otherwise skip.,planned,,
dd-2026-10-01,2026-10-01,2026-10-01T18:00:00+05:30,2026-09-30T03:30:00Z,2026-09-27,planned,50,template,rhyme,colors,fox,fiona,Colors With Fiona!,,colors song for toddlers,5.5,20261001,,,"[""learning"",""catalog""]",established_format,novelty_review,0,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,Use the existing template without seasonal claims. Validate learning examples and review actual audio/runtime. A different hero or shuffle alone is not sufficient novelty: approve a meaningful teaching variation or replace with an unpublished approved episode; otherwise skip.,planned,,
dd-2026-10-02,2026-10-02,2026-10-02T18:00:00+05:30,2026-10-01T03:30:00Z,2026-09-28,planned,80,story,story,,turtle,tilly,Grandpa Tilly and the Falling Leaves,"Tilly and Daisy notice autumn leaves and compare two colors; Taffy helps tidy the path. Keep the lesson on observation and helping. Use only Taffy, Ben, Daisy, Fiona, Grandpa Tilly and Professor Ozzy. Use existing backgrounds where suitable; run Director after generation. Target 5–6 minutes.",autumn story for preschool,5.5,20261002,autumn,2026-11-15T23:59:59+05:30,"[""quality""]",seasonal_hypothesis,free_llm_required,1,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,One publishing slot per day; human reviews and uploads.,planned,,
dd-2026-10-03,2026-10-03,2026-10-03T18:00:00+05:30,2026-10-02T03:30:00Z,2026-09-29,planned,40,flex,,,duck,daisy,Daisy's Friendly Pumpkin Game — trend-review candidate,,gentle Halloween for toddlers,5.5,20261003,Halloween,2026-10-31T23:59:59+05:30,"[""halloween"",""live_trends""]",unconfirmed_candidate,evidence_and_implementation_required,1,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,"Original Halloween script or deterministic seasonal template; current generic colors template is not a pumpkin game. Recheck search evidence 72 hours before production. This is a reserved slot, not an executable queue row. At most one script call if resolved to a story; zero for a deterministic template.",planned,,
dd-2026-10-04,2026-10-04,2026-10-04T18:00:00+05:30,2026-10-03T03:30:00Z,2026-09-30,planned,50,compilation,,,,,Sunny Meadow: Kindness and Learning — 2026-10-04,,,17,20261004,,,"[""learning""]",editorial_hypothesis,released_sources_required,0,,,"[""dd-2026-09-30"",""dd-2026-10-01"",""dd-2026-10-02""]",Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,"Use three actually finished and reviewed source episodes; do not regenerate them. Confirm topic coherence and replace the working title with an accurate contents title. Route to compile.yml, not make-video.yml. Hold if sources are missing or the combination duplicates a prior compilation.",planned,,
dd-2026-10-05,2026-10-05,2026-10-05T18:00:00+05:30,2026-10-04T03:30:00Z,2026-10-01,planned,50,template,rhyme,actions,turtle,tilly,Move With Grandpa Tilly!,,movement song for preschool,5.5,20261005,,,"[""learning"",""catalog""]",established_format,novelty_review,0,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,Use the existing template without seasonal claims. Validate learning examples and review actual audio/runtime. A different hero or shuffle alone is not sufficient novelty: approve a meaningful teaching variation or replace with an unpublished approved episode; otherwise skip.,planned,,
dd-2026-10-06,2026-10-06,2026-10-06T18:00:00+05:30,2026-10-05T03:30:00Z,2026-10-02,planned,80,story,story,,bunny,taffy,Taffy and the Friendly Pumpkin,"At the autumn garden Taffy worries about a pumpkin shadow. Ozzy shows the pumpkin in daylight; Taffy asks for help and feels reassured. Gentle Halloween story, no scare reveal. Use only Taffy, Ben, Daisy, Fiona, Grandpa Tilly and Professor Ozzy. Use existing backgrounds where suitable; run Director after generation. Target 5–6 minutes.",halloween story for preschool,5.5,20261006,Halloween,2026-10-31T23:59:59+05:30,"[""halloween"",""us_dates""]",seasonal_hypothesis,free_llm_required,1,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,One publishing slot per day; human reviews and uploads.,planned,,
dd-2026-10-07,2026-10-07,2026-10-07T18:00:00+05:30,2026-10-06T03:30:00Z,2026-10-03,planned,50,template,rhyme,shapes,owl,ozzy,Shapes With Professor Ozzy!,,shapes song for kids,5.5,20261007,,,"[""learning"",""catalog""]",established_format,novelty_review,0,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,Use the existing template without seasonal claims. Validate learning examples and review actual audio/runtime. A different hero or shuffle alone is not sufficient novelty: approve a meaningful teaching variation or replace with an unpublished approved episode; otherwise skip.,planned,,
dd-2026-10-08,2026-10-08,2026-10-08T18:00:00+05:30,2026-10-07T03:30:00Z,2026-10-04,planned,50,template,rhyme,opposites,bunny,taffy,Opposites With Taffy!,,opposites for kids,5.5,20261008,,,"[""learning"",""catalog""]",established_format,novelty_review,0,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,Use the existing template without seasonal claims. Validate learning examples and review actual audio/runtime. A different hero or shuffle alone is not sufficient novelty: approve a meaningful teaching variation or replace with an unpublished approved episode; otherwise skip.,planned,,
dd-2026-10-09,2026-10-09,2026-10-09T18:00:00+05:30,2026-10-08T03:30:00Z,2026-10-05,planned,80,story,story,,duck,daisy,Daisy Learns a Festival Dance,"For Navratri, Daisy and Fiona practise a simple clap-and-step together in the meadow. Explain that some families celebrate with music and dance; no claim to demonstrate a specific traditional dance. Use only Taffy, Ben, Daisy, Fiona, Grandpa Tilly and Professor Ozzy. Use existing backgrounds where suitable; run Director after generation. Target 5–6 minutes.",navratri story for preschool,5.5,20261009,Navratri,2026-10-20T23:59:59+05:30,"[""india_observances"",""quality""]",seasonal_hypothesis,free_llm_and_visual_review,1,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,One publishing slot per day; human reviews and uploads. Verify cultural framing and required decorative visuals before dispatch. Keep hero selection separate from holiday figures.,planned,,
dd-2026-10-10,2026-10-10,2026-10-10T18:00:00+05:30,2026-10-09T03:30:00Z,2026-10-06,planned,40,flex,,,duck,daisy,Daisy's Friendly Pumpkin Game — trend-review candidate,,gentle Halloween for toddlers,5.5,20261010,Halloween,2026-10-31T23:59:59+05:30,"[""halloween"",""live_trends""]",unconfirmed_candidate,evidence_and_implementation_required,1,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,"Original Halloween script or deterministic seasonal template; current generic colors template is not a pumpkin game. Recheck search evidence 72 hours before production. This is a reserved slot, not an executable queue row. At most one script call if resolved to a story; zero for a deterministic template.",planned,,
dd-2026-10-11,2026-10-11,2026-10-11T18:00:00+05:30,2026-10-10T03:30:00Z,2026-10-07,planned,50,compilation,,,,,Sunny Meadow: Kindness and Learning — 2026-10-11,,,17,20261011,,,"[""learning""]",editorial_hypothesis,released_sources_required,0,,,"[""dd-2026-10-07"",""dd-2026-10-08"",""dd-2026-10-09""]",Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,"Use three actually finished and reviewed source episodes; do not regenerate them. Confirm topic coherence and replace the working title with an accurate contents title. Route to compile.yml, not make-video.yml. Hold if sources are missing or the combination duplicates a prior compilation.",planned,,
dd-2026-10-12,2026-10-12,2026-10-12T18:00:00+05:30,2026-10-11T03:30:00Z,2026-10-08,planned,50,template,rhyme,lullaby,bear,ben,"Goodnight, Ben",,gentle bedtime song for toddlers,5.5,20261012,,,"[""learning"",""catalog""]",established_format,novelty_review,0,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,Use the existing template without seasonal claims. Validate learning examples and review actual audio/runtime. A different hero or shuffle alone is not sufficient novelty: approve a meaningful teaching variation or replace with an unpublished approved episode; otherwise skip. Review that Director pacing remains calm; do not promise improved sleep.,planned,,
dd-2026-10-13,2026-10-13,2026-10-13T18:00:00+05:30,2026-10-12T03:30:00Z,2026-10-09,planned,80,story,story,,owl,ozzy,Ozzy Explains Friendly Shadows,"Ozzy and Ben compare a tree and its shadow, then help Daisy feel comfortable on an early evening walk. Reassure without making scary promises. Use only Taffy, Ben, Daisy, Fiona, Grandpa Tilly and Professor Ozzy. Use existing backgrounds where suitable; run Director after generation. Target 5–6 minutes.",halloween story for preschool,5.5,20261013,Halloween,2026-10-31T23:59:59+05:30,"[""halloween""]",seasonal_hypothesis,free_llm_required,1,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,One publishing slot per day; human reviews and uploads.,planned,,
dd-2026-10-14,2026-10-14,2026-10-14T18:00:00+05:30,2026-10-13T03:30:00Z,2026-10-10,planned,50,template,rhyme,body-parts,duck,daisy,Body Parts With Daisy!,,body parts song for kids,5.5,20261014,,,"[""learning"",""catalog""]",established_format,editorial_review,0,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,Use the existing template without seasonal claims. Validate learning examples and review actual audio/runtime. A different hero or shuffle alone is not sufficient novelty: approve a meaningful teaching variation or replace with an unpublished approved episode; otherwise skip. Check plural grammar and anatomy against the selected animal.,planned,,
dd-2026-10-15,2026-10-15,2026-10-15T18:00:00+05:30,2026-10-14T03:30:00Z,2026-10-11,planned,50,template,rhyme,animal-sounds,fox,fiona,Animal Sounds With Fiona!,,animal sounds for toddlers,5.5,20261015,,,"[""learning"",""catalog""]",established_format,editorial_review,0,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,Use the existing template without seasonal claims. Validate learning examples and review actual audio/runtime. A different hero or shuffle alone is not sufficient novelty: approve a meaningful teaching variation or replace with an unpublished approved episode; otherwise skip. Check chorus sound labels against the six-cast lesson; do not imply every named sound has an on-screen animal.,planned,,
dd-2026-10-16,2026-10-16,2026-10-16T18:00:00+05:30,2026-10-15T03:30:00Z,2026-10-12,planned,60,story,story,,fox,fiona,Fiona Chooses Kindness at the Games,"Fiona can win a meadow race by ignoring Taffy's dropped ribbon, but stops to help. Both finish proudly. A kindness story during Dussehra week, not a retelling of the festival. Use only Taffy, Ben, Daisy, Fiona, Grandpa Tilly and Professor Ozzy. Use existing backgrounds where suitable; run Director after generation. Target 5–6 minutes.",kindness story for preschool,5.5,20261016,,,"[""quality""]",established_need,free_llm_required,1,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,One publishing slot per day; human reviews and uploads.,planned,,
dd-2026-10-17,2026-10-17,2026-10-17T18:00:00+05:30,2026-10-16T03:30:00Z,2026-10-13,planned,40,flex,,,duck,daisy,Daisy's Friendly Pumpkin Game — trend-review candidate,,gentle Halloween for toddlers,5.5,20261017,Halloween,2026-10-31T23:59:59+05:30,"[""halloween"",""live_trends""]",unconfirmed_candidate,evidence_and_implementation_required,1,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,"Original Halloween script or deterministic seasonal template; current generic colors template is not a pumpkin game. Recheck search evidence 72 hours before production. This is a reserved slot, not an executable queue row. At most one script call if resolved to a story; zero for a deterministic template.",planned,,
dd-2026-10-18,2026-10-18,2026-10-18T18:00:00+05:30,2026-10-17T03:30:00Z,2026-10-14,planned,50,compilation,,,,,Sunny Meadow: Kindness and Learning — 2026-10-18,,,17,20261018,,,"[""learning""]",editorial_hypothesis,released_sources_required,0,,,"[""dd-2026-10-14"",""dd-2026-10-15"",""dd-2026-10-16""]",Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,"Use three actually finished and reviewed source episodes; do not regenerate them. Confirm topic coherence and replace the working title with an accurate contents title. Route to compile.yml, not make-video.yml. Hold if sources are missing or the combination duplicates a prior compilation.",planned,,
dd-2026-10-19,2026-10-19,2026-10-19T18:00:00+05:30,2026-10-18T03:30:00Z,2026-10-15,planned,50,template,rhyme,counting,turtle,tilly,Count With Grandpa Tilly!,,counting 1 to 10 song for toddlers,5.5,20261019,,,"[""learning"",""catalog""]",established_format,novelty_review,0,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,Use the existing template without seasonal claims. Validate learning examples and review actual audio/runtime. A different hero or shuffle alone is not sufficient novelty: approve a meaningful teaching variation or replace with an unpublished approved episode; otherwise skip.,planned,,
dd-2026-10-20,2026-10-20,2026-10-20T18:00:00+05:30,2026-10-19T03:30:00Z,2026-10-16,planned,80,story,story,,bear,ben,Ben Asks for a Quiet Halloween,"Ben finds a pretend party too noisy. Daisy listens and helps him choose a quiet pumpkin game. Show asking for a break and respecting the answer. Use only Taffy, Ben, Daisy, Fiona, Grandpa Tilly and Professor Ozzy. Use existing backgrounds where suitable; run Director after generation. Target 5–6 minutes.",halloween story for preschool,5.5,20261020,Halloween,2026-10-31T23:59:59+05:30,"[""halloween"",""feelings""]",seasonal_hypothesis,free_llm_required,1,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,One publishing slot per day; human reviews and uploads.,planned,,
dd-2026-10-21,2026-10-21,2026-10-21T18:00:00+05:30,2026-10-20T03:30:00Z,2026-10-17,planned,50,template,rhyme,colors,owl,ozzy,Colors With Professor Ozzy!,,colors song for toddlers,5.5,20261021,,,"[""learning"",""catalog""]",established_format,novelty_review,0,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,Use the existing template without seasonal claims. Validate learning examples and review actual audio/runtime. A different hero or shuffle alone is not sufficient novelty: approve a meaningful teaching variation or replace with an unpublished approved episode; otherwise skip.,planned,,
dd-2026-10-22,2026-10-22,2026-10-22T18:00:00+05:30,2026-10-21T03:30:00Z,2026-10-18,planned,50,template,rhyme,actions,bear,ben,Move With Ben!,,movement song for preschool,5.5,20261022,,,"[""learning"",""catalog""]",established_format,novelty_review,0,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,Use the existing template without seasonal claims. Validate learning examples and review actual audio/runtime. A different hero or shuffle alone is not sufficient novelty: approve a meaningful teaching variation or replace with an unpublished approved episode; otherwise skip.,planned,,
dd-2026-10-23,2026-10-23,2026-10-23T18:00:00+05:30,2026-10-22T03:30:00Z,2026-10-19,planned,80,story,story,,duck,daisy,Daisy Shares the Diwali Colors,"Daisy and Taffy plan a simple rangoli for Diwali; they take turns choosing colors. Introduce the festival of lights briefly and accurately. Use clear rangoli artwork only after an asset review. Use only Taffy, Ben, Daisy, Fiona, Grandpa Tilly and Professor Ozzy. Use existing backgrounds where suitable; run Director after generation. Target 5–6 minutes.",diwali story for preschool,5.5,20261023,Diwali,2026-11-08T23:59:59+05:30,"[""india_dates"",""quality""]",seasonal_hypothesis,free_llm_and_visual_review,1,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,One publishing slot per day; human reviews and uploads. Verify cultural framing and required decorative visuals before dispatch. Keep hero selection separate from holiday figures.,planned,,
dd-2026-10-24,2026-10-24,2026-10-24T18:00:00+05:30,2026-10-23T03:30:00Z,2026-10-20,planned,40,flex,,,duck,daisy,Daisy's Friendly Pumpkin Game — trend-review candidate,,gentle Halloween for toddlers,5.5,20261024,Halloween,2026-10-31T23:59:59+05:30,"[""halloween"",""live_trends""]",unconfirmed_candidate,evidence_and_implementation_required,1,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,"Original Halloween script or deterministic seasonal template; current generic colors template is not a pumpkin game. Recheck search evidence 72 hours before production. This is a reserved slot, not an executable queue row. At most one script call if resolved to a story; zero for a deterministic template.",planned,,
dd-2026-10-25,2026-10-25,2026-10-25T18:00:00+05:30,2026-10-24T03:30:00Z,2026-10-21,planned,50,compilation,,,,,Sunny Meadow: Kindness and Learning — 2026-10-25,,,17,20261025,,,"[""learning""]",editorial_hypothesis,released_sources_required,0,,,"[""dd-2026-10-21"",""dd-2026-10-22"",""dd-2026-10-23""]",Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,"Use three actually finished and reviewed source episodes; do not regenerate them. Confirm topic coherence and replace the working title with an accurate contents title. Route to compile.yml, not make-video.yml. Hold if sources are missing or the combination duplicates a prior compilation.",planned,,
dd-2026-10-26,2026-10-26,2026-10-26T18:00:00+05:30,2026-10-25T03:30:00Z,2026-10-22,planned,50,template,rhyme,shapes,bunny,taffy,Shapes With Taffy!,,shapes song for kids,5.5,20261026,,,"[""learning"",""catalog""]",established_format,novelty_review,0,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,Use the existing template without seasonal claims. Validate learning examples and review actual audio/runtime. A different hero or shuffle alone is not sufficient novelty: approve a meaningful teaching variation or replace with an unpublished approved episode; otherwise skip.,planned,,
dd-2026-10-27,2026-10-27,2026-10-27T18:00:00+05:30,2026-10-26T03:30:00Z,2026-10-23,planned,80,story,story,,turtle,tilly,Grandpa Tilly Explains Diwali Lights,"Grandpa Tilly describes how some families celebrate Diwali with lights and sharing. Ben chooses a kind greeting for each friend. Keep lights decorative and avoid handling flames or fireworks. Use only Taffy, Ben, Daisy, Fiona, Grandpa Tilly and Professor Ozzy. Use existing backgrounds where suitable; run Director after generation. Target 5–6 minutes.",diwali story for preschool,5.5,20261027,Diwali,2026-11-08T23:59:59+05:30,"[""india_dates"",""quality""]",seasonal_hypothesis,free_llm_and_visual_review,1,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,One publishing slot per day; human reviews and uploads. Verify cultural framing and required decorative visuals before dispatch. Keep hero selection separate from holiday figures.,planned,,
dd-2026-10-28,2026-10-28,2026-10-28T18:00:00+05:30,2026-10-27T03:30:00Z,2026-10-24,planned,50,template,rhyme,opposites,duck,daisy,Opposites With Daisy!,,opposites for kids,5.5,20261028,,,"[""learning"",""catalog""]",established_format,novelty_review,0,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,Use the existing template without seasonal claims. Validate learning examples and review actual audio/runtime. A different hero or shuffle alone is not sufficient novelty: approve a meaningful teaching variation or replace with an unpublished approved episode; otherwise skip.,planned,,
